,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,unregistered,registered,score,sum_click
30,AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,0,0,0,4104
31,AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,0,0,0,1944
32,AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,0,0,0,1150
33,AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,0,0,0,4777
34,AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,1,1,0,465
35,AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,0,0,1,733
36,AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,0,0,0,998
37,AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,0,0,0,2343
38,AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,0,0,0,3553
39,AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,0,0,0,757
40,AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,0,0,0,1358
41,AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,0,0,0,1886
42,AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,0,0,0,1108
43,AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,0,0,0,284
44,AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,0,0,0,2041
45,AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,0,0,0,1321
46,AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,1,1,0,1888
47,AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,1,1,0,1888
48,AAA,2014J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,1,1,0,1888
49,AAA,2014J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,1,1,0,1888
50,AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,0,0,0,520
51,AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,0,0,0,2732
52,AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,1,1,0,610
53,AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,0,0,0,610
54,AAA,2014J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Y,1,1,0,610
55,AAA,2014J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,Y,0,0,0,610
56,AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,0,0,0,5528
57,AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,0,0,0,1823
58,AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,1,1,1,756
59,AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,0,0,1,756
60,AAA,2014J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,N,1,1,1,756
61,AAA,2014J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,N,0,0,1,756
62,AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,0,0,0,2121
63,AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,0,0,0,5645
64,AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,0,0,1,452
65,AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,0,0,0,597
66,AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,0,0,1,1718
67,AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,0,0,1,1718
68,AAA,2014J,147756,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,0,0,1,1718
69,AAA,2014J,147756,M,North Region,Lower Than A Level,60-70%,0-35,1,120,N,0,0,1,1718
70,AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,1,1,0,155
71,AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,1,1,0,3812
72,AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,0,0,0,3812
73,AAA,2014J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,1,1,0,3812
74,AAA,2014J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,Y,0,0,0,3812
75,AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,0,0,0,270
76,AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,0,0,0,1529
77,AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,0,0,0,4003
78,AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,1,1,0,2645
79,AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,0,0,0,2645
80,AAA,2014J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,1,1,0,2645
81,AAA,2014J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,N,0,0,0,2645
82,AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,0,0,0,1405
83,AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,1,0,2062
84,AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,1,0,2062
85,AAA,2014J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,1,1,0,2062
86,AAA,2014J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,N,1,1,0,2062
87,AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,0,0,0,466
88,AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,0,0,0,1510
89,AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,0,0,0,745
90,AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,0,0,0,1939
91,AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,0,0,0,1782
92,AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,0,0,0,6318
93,AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,0,0,0,4447
94,AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,0,0,0,2016
95,AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,0,0,1,138
96,AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,0,0,0,2012
97,AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,1,1,0,487
98,AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,0,0,0,1975
99,AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,0,0,1,964
100,AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,0,0,0,1312
101,AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,0,0,0,427
102,AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,0,0,0,2136
103,AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,0,0,0,8562
104,AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,1,1,0,4497
105,AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,0,0,0,4497
106,AAA,2014J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,N,1,1,0,4497
107,AAA,2014J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,N,0,0,0,4497
108,AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,0,1541
109,AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,0,0,0,3219
110,AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,1,1,0,1905
111,AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,0,0,1,534
112,AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,1,1,0,1418
113,AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,0,0,0,1665
114,AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,0,0,0,333
115,AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,0,0,0,2953
116,AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,0,0,0,1205
117,AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,0,0,0,227
118,AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,0,0,0,445
119,AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,0,0,0,614
120,AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,0,0,0,1215
121,AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,0,0,0,1839
122,AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,1,1,1,1257
123,AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,0,0,1,1257
124,AAA,2014J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,N,1,1,1,1257
125,AAA,2014J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,N,0,0,1,1257
126,AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,0,0,0,732
127,AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,0,0,0,1935
128,AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,0,0,0,321
129,AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,0,427
130,AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,0,0,0,1892
131,AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,0,0,0,1829
132,AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,0,0,0,658
133,AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,0,0,0,1174
134,AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,0,0,0,1969
135,AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,0,0,0,2580
136,AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,0,0,0,1481
137,AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,0,0,0,844
138,AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,0,0,0,4963
139,AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,1,1,0,426
140,AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,1,1,0,426
141,AAA,2014J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,1,1,0,426
142,AAA,2014J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,N,1,1,0,426
143,AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,0,0,0,1066
144,AAA,2013J,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,0,0,0,2407
145,AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,0,0,0,3210
146,AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,1,1,1,191
147,AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,0,0,1,191
148,AAA,2014J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,N,1,1,1,191
149,AAA,2014J,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,N,0,0,1,191
150,AAA,2013J,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,0,0,0,3348
151,AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,1,1,0,2028
152,AAA,2013J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,1,1,0,2028
153,AAA,2014J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,N,1,1,0,2028
154,AAA,2014J,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,N,1,1,0,2028
155,AAA,2013J,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,0,0,0,1183
156,AAA,2013J,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,0,0,0,492
157,AAA,2013J,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,0,0,0,130
158,AAA,2013J,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,0,0,0,1961
159,AAA,2013J,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,0,0,0,1046
160,AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,0,483
161,AAA,2013J,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,0,0,0,1740
162,AAA,2013J,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,0,0,0,652
163,AAA,2013J,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,0,0,0,5231
164,AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,0,0,1,187
165,AAA,2013J,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,0,0,0,1775
166,AAA,2013J,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,0,0,0,865
167,AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,0,0,1,3099
168,AAA,2013J,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,0,0,1,3099
169,FFF,2014B,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,180,N,0,0,1,3099
170,FFF,2014B,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,180,N,0,0,1,3099
171,AAA,2013J,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,0,0,0,2152
172,AAA,2013J,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,0,0,0,514
173,AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,0,0,0,1997
174,AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,0,0,0,513
175,AAA,2013J,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,0,0,0,146
176,AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,0,0,0,1277
177,AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,0,0,0,987
178,AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,0,0,0,1220
179,AAA,2013J,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,0,0,1,2742
180,AAA,2013J,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,0,0,0,1081
181,AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,0,0,0,1476
182,AAA,2013J,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,0,0,0,2230
183,AAA,2013J,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,0,0,0,12882
184,AAA,2013J,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,0,0,0,281
185,AAA,2013J,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,0,0,0,1281
186,AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,0,0,0,6589
187,AAA,2013J,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,0,0,0,10083
188,AAA,2013J,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,0,0,0,1901
189,AAA,2013J,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,0,0,1,1961
190,AAA,2013J,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,1,133
191,AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,1,1,0,6588
192,AAA,2013J,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,0,0,0,6588
193,AAA,2014J,331358,F,South Region,HE Qualification,90-100%,35-55,1,60,N,1,1,0,6588
194,AAA,2014J,331358,F,South Region,HE Qualification,90-100%,35-55,1,60,N,0,0,0,6588
195,AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,0,0,0,1655
196,AAA,2013J,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,0,0,0,301
197,AAA,2013J,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,0,0,0,648
198,AAA,2013J,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,0,0,0,332
199,AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,1,1,1,303
200,AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,1,0,3928
201,AAA,2013J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,0,0,0,3928
202,AAA,2014J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,N,1,1,0,3928
203,AAA,2014J,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,N,0,0,0,3928
204,AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,0,1316
205,AAA,2013J,339972,M,North Region,A Level or Equivalent,80-90%,0-35,0,60,N,0,0,1,333
206,AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,40-50%,0-35,0,180,N,0,0,0,201
207,AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,1,1,0,3178
208,AAA,2013J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,N,0,0,0,3178
209,AAA,2014J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,N,1,1,0,3178
210,AAA,2014J,342007,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,N,0,0,0,3178
211,AAA,2013J,342514,M,Scotland,Lower Than A Level,50-60%,55<=,0,60,N,0,0,0,1950
212,AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-10%,0-35,0,60,N,0,0,0,838
213,AAA,2013J,343446,M,Ireland,HE Qualification,70-80%,35-55,0,120,N,0,0,0,3644
214,AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,0,0,0,65
215,AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,0,180,Y,0,0,0,547
216,AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,0,60,N,0,0,0,2219
217,AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,0,120,N,0,0,0,569
218,AAA,2013J,350188,M,North Western Region,HE Qualification,80-90%,35-55,0,60,N,0,0,0,761
219,AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,0,60,N,0,0,0,166
220,AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,0,0,0,821
221,AAA,2013J,365244,F,London Region,A Level or Equivalent,0-10%,0-35,0,120,N,0,0,0,891
222,AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,10-20,35-55,0,60,N,0,0,0,2129
223,AAA,2013J,366483,M,South West Region,HE Qualification,40-50%,0-35,0,60,N,0,0,0,1465
224,AAA,2013J,368194,F,South West Region,A Level or Equivalent,50-60%,0-35,0,120,Y,0,0,0,437
225,AAA,2013J,368824,M,Wales,HE Qualification,50-60%,35-55,0,120,N,0,0,1,292
226,AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,0,180,N,0,0,0,677
227,AAA,2013J,376439,M,North Region,HE Qualification,,0-35,0,60,N,0,0,0,2342
228,AAA,2013J,376581,F,South Region,A Level or Equivalent,80-90%,35-55,0,60,N,0,0,0,2333
229,AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,0,60,N,0,0,0,1062
230,AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,120,N,0,0,0,543
231,AAA,2013J,386924,M,Ireland,Lower Than A Level,,0-35,0,120,N,0,0,0,164
232,AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,0,120,N,0,0,0,910
233,AAA,2013J,388722,F,London Region,Lower Than A Level,80-90%,35-55,0,60,N,0,0,0,671
234,AAA,2013J,388885,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,0,0,0,875
235,AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,1,1,0,997
236,AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,N,0,0,0,997
237,AAA,2014J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,N,1,1,0,997
238,AAA,2014J,390890,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,N,0,0,0,997
239,AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,0,0,1,363
240,AAA,2013J,392931,F,North Western Region,A Level or Equivalent,50-60%,35-55,0,120,N,0,0,0,3003
241,AAA,2013J,393207,M,North Western Region,A Level or Equivalent,60-70%,0-35,0,60,N,0,0,0,876
242,AAA,2013J,396872,M,Yorkshire Region,HE Qualification,50-60%,0-35,0,180,N,0,0,0,996
243,AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,0,240,N,0,0,0,1183
244,AAA,2013J,401869,F,South East Region,Lower Than A Level,80-90%,0-35,0,60,N,0,0,0,955
245,AAA,2013J,402470,M,South West Region,Lower Than A Level,50-60%,35-55,0,60,N,0,0,0,1445
246,AAA,2013J,404804,M,Wales,Lower Than A Level,20-30%,35-55,0,120,N,0,0,1,509
247,AAA,2013J,405088,M,North Region,A Level or Equivalent,20-30%,0-35,0,120,N,0,0,0,1388
248,AAA,2013J,414117,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,0,120,N,0,0,0,807
249,AAA,2013J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,1,1,0,1417
250,AAA,2013J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,N,0,0,0,1417
251,AAA,2014J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,N,1,1,0,1417
252,AAA,2014J,415969,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,N,0,0,0,1417
253,AAA,2013J,420087,M,Scotland,A Level or Equivalent,40-50%,0-35,0,60,Y,0,0,0,342
254,AAA,2013J,429958,F,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,0,0,0,411
255,AAA,2013J,441018,F,South East Region,A Level or Equivalent,70-80%,0-35,0,150,N,0,0,0,646
256,AAA,2013J,441888,M,London Region,A Level or Equivalent,20-30%,0-35,0,120,N,0,0,0,739
257,AAA,2013J,442442,M,South West Region,HE Qualification,80-90%,0-35,0,120,N,1,1,1,1009
